user,dayofweek,hour,age,numscreens,minigame,used_premium_feature,enrolled,liked,SavingCount,CMCount,CCCount,LoansCount,Other
172249,3,18,20,18,0,0,0,0,0,2,0,0,11
22652,5,4,30,47,0,0,1,0,6,0,2,0,23
127958,1,4,23,47,0,0,1,0,0,3,0,2,20
86325,1,21,56,13,1,0,0,0,0,0,0,0,11
325393,2,21,19,11,0,1,1,0,0,0,0,0,10
272545,2,18,42,21,0,1,0,0,0,3,0,2,8
93890,6,19,24,7,0,0,0,0,0,0,0,0,7
69353,6,5,30,7,0,0,0,0,4,0,0,0,2
208409,2,19,17,20,0,0,1,0,0,0,0,2,12
25627,1,14,30,18,0,0,1,1,0,0,0,0,11
290211,2,21,34,16,0,1,0,0,0,0,0,0,10
13148,4,22,37,4,0,0,0,0,0,0,0,2,3
140258,1,10,27,34,0,0,0,0,0,3,2,2,13
272434,5,6,19,16,0,0,1,0,0,0,0,0,14
311539,4,7,25,40,0,0,0,0,0,2,0,2,15
54898,6,11,20,1,1,0,0,0,0,0,0,0,1
72135,3,2,34,15,0,0,1,0,0,0,0,2,11
246297,0,4,24,59,0,0,1,0,0,0,2,2,17
43535,3,8,43,9,0,0,1,0,0,2,0,0,7
255766,3,14,41,45,0,0,1,0,0,2,0,2,22
182086,3,14,21,25,0,0,1,0,0,5,0,2,11
353697,4,22,29,33,0,0,1,1,1,4,0,2,12
151404,1,3,33,7,1,1,0,0,0,0,0,0,7
78196,5,19,26,29,1,0,0,0,0,3,0,2,15
317630,4,21,24,3,0,0,0,0,0,1,0,0,2
96320,4,19,17,4,0,0,0,0,0,0,0,2,3
3052,5,23,41,38,0,0,0,0,9,2,0,2,12
214961,0,12,30,21,1,1,0,1,0,4,0,2,8
120380,3,23,33,6,0,0,0,0,0,0,0,0,6
179917,5,15,23,49,0,0,1,0,0,5,3,2,14
130555,5,3,20,6,0,0,1,0,0,0,0,0,6
272615,1,18,31,8,0,0,1,0,0,0,0,0,8
15106,5,12,22,20,0,0,1,0,0,0,0,0,18
202340,1,13,30,41,0,0,1,0,0,4,0,2,13
105984,6,6,39,40,0,0,1,0,0,5,1,2,17
155491,4,21,31,25,0,1,0,0,0,0,0,2,10
216192,3,1,21,34,0,0,1,0,8,2,0,2,11
316136,4,15,37,11,0,0,0,0,0,0,0,0,11
35333,1,4,17,89,0,0,1,0,0,3,3,2,23
169339,2,0,31,22,0,0,1,0,0,2,1,2,16
94763,1,16,47,8,0,0,0,1,0,2,0,2,4
177859,6,5,24,20,0,0,1,0,0,4,3,2,9
27513,6,16,32,25,1,0,1,0,0,4,0,0,10
368717,3,18,25,25,0,1,0,0,8,2,0,0,9
165008,3,18,25,43,0,0,0,0,2,0,0,0,17
109154,4,23,26,13,0,0,1,0,0,0,0,0,12
276264,4,7,18,20,0,0,0,0,0,0,0,2,11
154536,1,4,29,47,1,1,1,0,0,4,0,2,19
116034,5,12,20,39,0,1,1,0,0,0,0,2,21
167756,1,12,22,38,0,0,1,0,5,0,0,2,20
56270,6,22,46,35,0,0,1,1,0,2,0,2,20
144393,1,21,31,36,1,0,1,0,0,5,0,2,15
138529,1,18,45,22,1,0,0,0,0,0,0,2,11
339263,3,19,28,12,0,0,0,0,0,0,0,2,6
364344,1,22,42,37,1,0,1,0,0,0,0,2,23
262301,4,3,23,20,1,1,1,1,0,2,0,0,15
89726,6,17,24,13,0,0,1,1,0,0,0,2,9
312461,2,13,19,11,0,0,0,0,0,0,0,2,10
62035,6,7,38,13,1,1,1,0,0,3,0,0,8
264696,5,19,27,14,0,1,1,1,0,2,0,2,6
269067,0,3,33,19,0,0,1,0,0,0,0,2,14
347837,2,7,28,40,0,0,0,0,4,0,0,2,13
229111,6,0,53,16,0,0,1,0,0,0,0,0,15
25410,1,20,27,43,0,0,1,0,0,3,3,2,11
247778,2,21,30,6,0,0,1,0,0,2,0,2,3
93446,2,17,24,27,0,0,0,1,0,0,0,2,16
155344,4,22,44,56,1,1,0,0,0,3,2,2,14
348712,0,0,33,31,0,1,0,0,0,0,0,3,20
197551,4,9,22,33,0,0,0,1,0,2,0,2,14
178798,6,2,49,12,0,1,0,0,0,1,0,2,5
316132,4,14,42,29,1,0,1,0,0,2,0,0,7
133446,4,1,29,32,0,0,1,1,0,0,0,2,13
94214,2,4,26,30,0,0,1,1,0,2,0,2,18
217161,5,23,39,12,0,0,0,1,0,0,0,1,8
241331,2,17,19,12,0,1,0,0,0,4,0,2,6
8244,1,13,58,13,0,0,0,1,0,3,0,0,7
135746,3,23,36,2,0,0,1,1,0,1,0,2,0
354357,1,13,19,6,0,0,0,0,0,0,0,0,4
183537,4,17,33,5,1,1,0,0,0,3,0,2,1
240067,4,15,46,27,0,0,1,0,0,4,0,2,14
231204,3,4,38,30,0,0,1,0,0,0,0,0,14
12895,6,22,21,11,0,0,0,0,0,2,0,2,6
255296,5,21,28,36,0,0,1,0,0,0,0,0,16
235640,3,0,25,9,0,0,0,0,0,0,0,2,8
30069,6,19,20,24,0,0,0,0,0,0,0,2,14
116493,1,18,21,44,0,0,1,0,0,3,1,2,23
271120,0,18,24,27,0,0,1,0,0,0,0,2,18
270132,4,0,19,92,0,0,1,0,0,2,3,2,24
7914,4,14,30,17,0,0,1,0,0,0,0,0,11
145742,1,21,17,9,0,0,1,0,0,2,0,0,7
233803,1,1,47,8,0,0,0,0,0,1,0,2,5
182226,4,16,23,20,0,0,1,0,0,2,0,2,15
100926,5,23,38,22,0,0,0,0,0,0,3,0,12
284326,0,1,37,23,0,0,1,0,0,0,0,0,20
328645,1,3,18,16,0,0,1,0,0,0,0,2,13
353523,4,10,39,12,0,0,1,0,0,0,0,0,10
270946,5,6,20,20,0,0,1,0,0,0,0,2,12
99313,0,13,19,23,0,0,0,0,0,0,0,0,13
133478,1,17,24,9,0,0,1,0,0,2,0,0,8
173108,6,2,20,26,0,0,0,0,0,2,0,2,13
99535,6,8,41,59,0,0,1,1,2,4,2,2,29
356130,5,11,60,10,0,0,1,1,0,3,0,0,8
213074,5,20,21,31,0,0,1,0,0,0,0,0,17
89934,5,17,40,51,0,0,0,0,0,4,1,2,24
88818,1,7,24,26,0,0,0,1,0,2,0,2,13
365442,0,15,60,6,0,0,0,1,0,0,0,2,3
157846,1,6,27,6,0,0,0,0,0,0,0,0,6
262169,1,18,22,8,0,0,1,0,0,0,0,0,6
334017,0,21,20,27,0,0,0,0,0,0,0,2,18
137410,1,22,26,57,0,0,0,0,0,2,0,2,16
67270,5,16,23,3,0,0,0,0,0,0,0,2,1
74986,6,16,24,22,0,1,0,0,0,0,0,0,20
141543,0,20,28,16,0,0,1,0,0,0,0,2,13
267454,0,17,29,15,0,1,0,0,0,2,0,2,7
2584,4,21,32,13,0,0,0,0,0,2,0,2,5
153178,6,7,23,27,0,0,1,0,0,3,0,2,19
282214,2,8,21,22,1,0,1,1,0,5,0,0,11
370820,2,20,18,36,0,0,1,0,0,1,0,2,19
304331,5,1,26,70,0,0,1,0,0,1,0,2,24
47893,0,22,43,58,1,0,1,0,1,4,0,2,29
21054,6,2,37,9,0,0,0,1,0,0,0,2,5
81825,1,10,28,15,0,0,1,1,0,0,0,0,10
269391,2,20,21,13,0,1,0,0,0,0,0,2,8
234265,0,10,31,24,0,0,1,1,0,0,0,2,15
36273,0,15,46,6,0,0,0,0,0,2,0,2,3
128464,6,4,45,4,0,1,0,0,0,0,0,2,3
309069,6,20,29,1,1,0,0,1,0,0,0,0,1
32977,5,7,44,16,0,0,0,0,3,3,0,2,8
152086,6,16,40,13,0,1,0,1,0,1,0,2,6
90836,3,6,27,23,0,0,0,0,0,2,2,2,11
324080,4,14,50,16,1,0,1,0,0,2,0,0,9
132356,2,4,19,15,0,1,1,0,0,0,0,2,10
84550,5,0,23,34,0,0,1,0,0,0,0,2,12
335132,6,17,40,2,0,0,0,0,0,0,0,2,1
61310,1,22,38,66,0,1,0,0,0,4,3,2,8
276122,0,18,23,25,0,0,0,0,0,0,0,2,10
243662,1,16,19,24,0,0,0,0,0,0,0,0,18
72928,4,20,52,11,0,0,1,0,0,4,0,0,8
195650,2,22,29,6,0,0,0,0,0,2,0,2,4
237569,1,18,24,21,0,0,0,0,0,0,0,0,10
88251,1,19,20,19,0,0,0,0,0,0,0,2,13
313088,5,18,24,46,0,0,1,0,0,2,2,0,17
246668,4,19,56,6,0,0,0,0,0,0,0,0,4
260440,2,7,23,27,0,0,0,0,0,5,0,2,12
93801,1,22,21,19,0,1,0,0,0,0,0,2,10
325447,0,0,24,28,0,0,0,0,0,2,0,2,13
84955,1,15,48,55,0,0,1,1,0,4,3,2,21
166886,6,9,18,11,0,0,0,0,0,4,0,2,6
67380,1,13,42,13,0,0,0,0,0,0,0,2,6
336299,6,10,31,4,0,0,1,0,0,0,0,0,4
217381,6,19,22,8,0,0,0,0,0,0,0,0,5
595,5,0,21,23,0,0,0,1,0,0,0,2,15
176032,6,19,19,17,0,0,1,0,0,3,0,0,10
81054,4,2,31,12,0,0,0,0,0,0,0,0,7
119550,6,14,38,40,0,0,1,0,8,2,2,2,14
300225,1,14,57,25,0,1,0,0,0,0,0,0,6
233560,0,3,22,22,0,1,1,0,4,2,0,2,10
235763,0,11,23,13,0,0,1,0,0,0,0,0,13
99595,1,14,26,4,0,0,1,1,0,0,0,0,4
113895,1,6,23,5,0,0,0,0,0,0,0,2,3
106449,5,3,47,10,0,0,0,0,0,2,0,2,5
252384,2,16,60,24,0,0,0,0,0,0,0,2,14
355389,4,1,30,61,1,0,0,0,6,4,2,2,16
11366,3,13,53,24,0,0,1,0,0,4,0,2,10
207380,6,19,25,25,0,0,1,0,0,2,2,2,13
322521,5,23,39,75,0,1,1,0,0,0,0,2,18
326276,6,22,24,55,1,0,1,1,1,3,0,2,24
26534,0,17,33,12,0,0,1,0,0,0,0,0,10
67930,4,14,39,28,0,0,0,0,0,2,0,2,15
321781,6,4,21,10,0,0,1,0,0,0,0,2,5
311122,5,21,49,9,1,0,1,0,0,3,0,0,7
22724,1,20,34,39,0,0,1,0,0,5,0,2,19
54275,5,1,37,34,0,1,0,0,0,4,1,2,14
133403,3,0,24,10,0,0,0,0,0,0,0,2,7
22623,6,4,19,50,0,0,1,0,8,3,0,2,22
152107,3,10,33,1,0,0,1,0,0,0,0,0,1
206614,1,13,36,5,0,0,0,0,0,0,0,2,4
152317,3,3,42,46,0,0,0,0,10,0,0,2,19
186231,5,7,22,23,0,0,1,0,0,2,0,2,16
154510,0,16,62,44,0,0,0,0,0,0,0,0,19
35868,1,20,18,9,0,0,0,0,0,0,0,0,9
252276,0,17,27,42,0,0,1,1,0,2,0,2,17
96475,2,18,40,26,1,1,1,0,0,3,0,2,19
48738,4,10,47,9,0,0,0,0,0,0,0,0,9
128061,0,21,24,16,0,0,1,0,0,4,0,2,8
360310,6,18,63,19,0,0,1,0,0,0,0,0,13
33056,3,6,21,10,0,0,0,1,0,0,0,0,9
155464,1,17,37,13,0,0,1,0,0,4,0,2,9
254646,4,2,39,20,0,0,1,0,0,0,0,3,14
9219,0,1,41,19,0,0,0,1,0,3,0,2,5
343109,4,2,28,10,0,0,1,1,0,4,0,0,6
173971,4,2,41,36,0,0,0,0,0,4,0,2,11
301014,1,18,45,10,0,1,0,0,0,0,1,0,7
197481,5,6,32,22,0,1,0,0,0,0,0,2,11
310735,2,18,32,27,1,1,1,0,0,4,0,2,12
128593,1,1,31,14,0,0,1,0,0,0,0,2,13
230906,3,16,29,37,1,1,0,0,4,1,2,2,15
140466,1,13,49,2,0,0,0,0,0,0,0,0,2
335518,4,4,34,8,0,0,0,1,0,0,0,2,7
303117,4,4,16,22,0,0,1,0,0,0,0,0,12
122893,4,13,45,7,0,0,0,0,0,0,0,0,7
17958,2,21,21,7,0,1,0,0,0,2,0,0,6
258498,6,21,21,34,0,0,1,0,0,1,0,2,22
231701,0,23,29,25,0,0,1,0,8,5,0,0,8
79140,2,19,19,34,0,0,1,0,0,1,0,2,19
143464,4,20,25,3,0,1,0,1,0,0,0,0,3
25387,0,4,22,46,0,0,0,0,0,2,0,3,30
144820,4,20,28,40,0,0,1,0,0,0,0,2,19
353289,4,10,20,33,0,1,1,0,0,3,0,2,21
53795,4,4,19,16,0,0,1,0,0,4,0,0,10
254594,5,9,38,16,0,0,1,1,0,2,2,2,7
197255,5,23,33,22,0,0,1,0,0,0,0,2,15
2883,1,16,19,31,0,0,1,0,0,4,0,2,14
349090,0,19,24,14,1,1,1,0,0,2,0,2,11
85455,2,18,29,4,0,0,0,0,0,0,0,2,2
145673,5,19,41,34,0,1,0,0,8,0,0,0,11
186933,3,12,53,4,0,0,0,1,0,0,0,2,2
251478,1,0,50,7,0,1,0,0,0,0,0,2,4
200863,2,16,41,50,1,1,0,0,8,0,0,2,21
127933,3,17,31,36,0,1,0,0,3,2,0,2,17
233385,5,15,28,12,0,1,0,0,0,0,0,2,9
23306,6,14,21,42,0,0,1,0,0,3,0,2,20
286703,5,13,26,4,0,0,0,0,0,0,0,0,4
203193,6,6,25,16,0,0,0,1,0,0,0,0,12
112721,5,23,48,47,0,1,0,0,0,2,1,2,12
53596,3,23,53,13,0,0,1,0,0,0,0,0,13
124230,6,22,28,15,0,0,0,1,0,2,0,2,8
229047,6,16,28,8,0,0,1,0,0,0,0,2,6
136619,0,11,31,25,0,0,0,0,0,0,0,2,13
116811,3,3,18,33,0,1,1,0,4,5,0,2,15
305867,3,22,42,66,0,0,1,0,5,4,3,0,18
170136,1,7,24,22,0,0,1,0,0,0,0,0,18
250278,1,18,22,45,1,1,0,0,0,4,3,2,8
285027,1,10,43,17,0,0,1,1,0,0,0,0,13
73851,1,21,50,14,0,0,1,1,0,0,0,0,13
232465,6,23,46,16,0,0,0,0,0,0,0,0,12
188772,3,18,39,34,1,0,1,0,0,2,0,2,17
108952,0,23,41,44,0,0,0,0,8,3,0,2,18
198468,5,17,49,13,0,0,0,0,0,0,0,2,12
32801,6,10,25,16,0,0,0,0,0,0,0,2,9
238005,3,13,45,21,0,1,0,0,0,1,0,2,9
199158,2,16,24,29,0,0,0,0,0,2,0,2,15
271226,5,16,33,11,1,0,1,0,0,3,0,0,7
281508,4,11,50,3,0,0,1,1,0,0,0,0,3
306524,6,3,29,6,0,0,0,0,0,0,0,0,5
175259,4,15,24,44,1,0,0,0,10,2,0,2,17
297186,4,18,47,18,0,1,0,0,0,0,0,0,12
155878,3,10,26,10,0,1,1,0,0,3,0,2,5
182135,5,23,44,9,0,1,0,0,0,0,0,2,5
46126,3,6,24,5,0,0,1,1,0,0,0,2,4
107443,6,22,16,29,0,0,1,0,0,2,0,2,15
118416,1,17,54,20,0,1,0,0,0,3,0,2,9
341423,6,21,34,13,0,1,0,0,0,3,0,2,5
160626,0,9,28,15,1,0,1,0,0,2,0,2,12
100405,4,4,43,24,0,0,1,0,0,0,0,2,19
128888,4,11,24,31,0,0,1,0,5,0,0,0,16
92634,2,11,18,36,0,0,1,0,0,5,0,0,18
267695,1,3,36,37,1,0,0,0,0,4,0,2,15
29236,5,9,48,36,0,0,0,0,0,2,0,2,9
230530,0,19,28,27,0,0,1,0,0,5,0,0,9
143973,6,3,21,8,0,0,0,0,0,0,0,2,5
370727,2,21,25,7,0,1,1,1,0,0,0,0,6
133018,0,11,30,20,0,0,1,0,0,1,0,2,8
151582,0,21,29,9,0,0,0,0,0,0,0,2,7
297566,6,16,23,22,0,0,1,0,0,0,0,2,14
60228,4,19,50,4,0,0,0,0,0,0,0,0,4
237396,4,16,33,10,0,0,0,0,0,0,0,2,8
36761,5,23,58,12,0,0,0,1,0,0,0,0,9
109856,6,18,37,22,0,0,1,0,0,4,0,2,11
86698,3,3,40,22,0,0,0,0,2,0,0,1,13
363038,1,19,25,5,0,1,0,0,0,0,0,2,3
178568,5,17,24,15,0,0,0,0,0,0,0,2,11
160220,5,17,28,7,0,0,0,1,0,0,0,2,5
34699,3,15,58,1,0,0,0,0,0,0,0,0,1
290875,4,2,32,5,0,0,1,0,0,0,0,0,5
122398,3,19,70,19,0,0,1,0,0,5,0,0,8
125696,5,3,30,27,0,0,1,0,0,0,0,2,15
272810,4,19,20,24,0,0,0,0,0,2,0,2,13
326894,0,0,26,15,0,1,0,1,0,0,2,0,9
131306,0,12,29,31,0,0,1,0,0,0,0,2,21
90792,6,8,20,46,0,0,0,0,3,2,0,2,22
319339,4,16,45,2,0,0,0,0,0,0,0,0,2
54550,0,5,22,20,0,1,1,0,0,0,0,2,15
84304,6,0,56,17,1,0,1,1,0,2,0,2,9
270393,0,22,57,8,0,0,0,0,0,0,0,2,4
253671,0,16,25,32,0,0,1,0,0,0,0,2,26
24085,6,18,33,7,0,0,0,0,0,0,0,0,6
327287,4,4,25,47,1,0,1,0,0,2,3,2,12
240799,0,9,19,7,0,0,0,0,0,3,0,0,5
289549,1,15,42,6,0,0,0,1,0,3,0,0,3
173911,1,2,34,13,0,0,1,0,0,5,0,0,8
97134,6,1,18,27,0,0,1,1,0,0,0,2,15
135099,3,13,21,10,0,0,0,0,0,0,0,2,7
69956,0,18,30,40,0,0,0,0,0,2,0,2,12
80219,6,4,29,16,0,0,0,0,0,0,0,0,12
46563,3,17,30,9,0,0,0,1,0,0,0,2,6
294403,5,5,25,1,0,0,1,0,0,0,0,0,1
304249,3,14,31,26,0,0,0,0,0,4,0,2,8
372442,4,20,42,16,0,0,1,1,0,2,1,2,5
199441,0,12,45,23,0,0,0,0,0,0,0,0,13
97769,5,3,24,55,0,0,0,0,4,0,0,0,17
46254,2,18,26,31,0,0,1,1,0,0,0,2,22
130934,0,19,40,20,0,0,0,0,0,0,0,2,14
145884,3,17,33,1,0,1,1,0,0,0,0,0,1
101879,3,10,24,11,0,0,0,1,0,2,0,2,5
212023,4,22,24,19,0,1,0,0,0,0,0,2,11
41405,0,9,21,29,0,0,1,1,0,4,0,2,14
25668,6,4,38,19,0,0,0,0,0,0,0,0,5
250091,6,19,27,8,0,0,0,0,0,2,0,2,6
151896,6,2,33,18,0,0,0,0,1,0,0,2,11
90918,4,21,28,49,0,0,1,0,0,0,0,2,20
100779,4,23,30,37,0,0,1,0,0,0,0,2,16
344817,6,18,40,8,0,0,1,0,0,0,0,2,7
93997,4,4,34,34,0,0,0,0,3,4,0,2,13
167899,5,3,21,4,0,0,0,0,0,0,0,0,3
83349,5,19,27,11,0,0,0,1,0,0,0,2,10
58555,4,18,24,5,0,0,0,0,0,0,0,2,4
110036,0,5,25,16,1,1,1,0,0,3,0,0,9
60150,1,21,32,6,0,1,0,0,0,2,0,2,2
349074,2,4,28,2,0,1,0,0,0,0,0,1,1
312443,0,12,27,6,0,0,0,1,0,0,0,2,4
129912,6,14,47,4,0,0,0,0,0,0,0,2,2
191294,6,21,31,29,0,1,1,0,0,1,0,2,13
314758,1,23,43,8,0,0,1,0,0,3,0,0,6
229246,4,22,38,36,0,0,0,0,0,4,0,2,10
146769,4,0,52,17,0,0,1,0,0,4,0,2,9
116846,2,2,30,5,0,0,1,0,0,0,0,0,4
108317,0,21,33,14,1,0,0,1,0,3,0,0,9
265577,2,15,41,9,0,0,0,1,0,2,0,2,4
303849,3,5,53,20,0,0,1,0,0,0,0,0,14
50081,3,22,21,71,0,0,1,0,8,2,2,2,35
305100,6,7,20,23,0,1,1,1,0,0,0,0,15
354305,4,6,20,23,0,0,1,0,0,2,0,2,16
82975,6,22,51,29,0,1,0,1,0,0,3,2,5
182387,3,14,49,5,0,0,0,0,0,0,0,0,5
143289,4,11,22,17,0,0,1,0,0,2,0,2,9
222215,1,5,34,40,0,0,1,1,7,0,0,0,16
132805,5,14,51,16,0,0,1,0,0,0,0,0,16
109501,6,15,42,10,0,1,1,0,0,1,0,2,2
84649,1,6,32,17,0,0,0,0,0,0,0,2,9
55887,1,22,38,1,0,0,0,1,0,0,0,0,1
248996,0,17,27,25,0,0,1,1,0,2,0,2,20
120305,5,0,24,41,0,0,1,0,0,1,0,2,22
333789,5,14,35,18,0,0,0,0,0,0,0,2,11
14591,2,15,30,28,0,0,1,0,5,0,0,2,11
306073,6,17,25,9,0,0,1,0,0,2,0,2,6
64660,4,18,42,9,0,0,0,0,0,0,0,0,8
227985,6,21,25,43,0,0,1,0,4,5,0,2,14
308026,4,3,33,50,0,0,1,0,6,0,1,2,23
80022,0,15,34,48,0,1,0,0,0,3,3,2,6
286116,5,4,19,3,0,0,1,0,0,0,0,0,3
61152,3,16,40,8,0,0,1,0,0,2,0,2,4
173245,6,18,21,6,1,0,0,0,0,0,0,0,4
255305,1,18,25,33,0,0,1,0,0,4,0,2,13
261221,5,16,32,78,0,0,1,0,4,4,0,2,29
172518,5,3,24,31,0,0,0,0,0,0,0,2,15
315241,0,0,19,37,0,0,1,0,0,2,2,2,16
79289,2,20,22,50,0,0,0,0,8,3,0,2,13
71382,0,4,50,7,0,1,0,0,0,0,0,2,6
227752,4,8,27,2,0,0,0,0,0,0,0,0,1
40281,3,0,32,5,0,0,0,1,0,0,0,0,4
174301,3,1,21,17,1,1,1,0,0,0,0,2,15
103177,5,6,20,34,0,1,1,0,0,0,0,2,19
357997,0,19,21,23,0,1,1,0,0,5,0,0,13
182074,3,14,22,31,0,0,0,0,0,2,0,2,9
232610,5,0,41,23,0,0,0,0,0,3,0,2,7
51992,3,19,39,6,0,0,0,0,0,0,0,0,6
260017,6,22,33,18,0,1,0,0,4,2,0,2,6
220580,1,0,17,13,1,0,0,1,0,2,0,2,8
282697,1,6,30,29,1,0,1,1,0,4,0,2,18
96,4,0,27,28,0,0,1,0,0,3,0,2,17
195061,1,5,35,17,0,0,0,0,0,0,0,0,5
125356,1,1,21,6,0,0,0,0,0,0,0,0,6
246108,3,20,23,5,0,0,1,0,0,0,0,2,3
121756,2,16,54,47,0,1,1,0,0,5,0,2,15
303993,5,21,29,8,0,0,0,0,0,2,0,2,5
212840,1,21,25,45,0,0,1,1,4,2,0,2,21
306344,5,14,47,31,0,0,1,0,0,0,0,2,17
58743,6,17,24,21,0,0,0,0,0,3,0,2,13
53079,0,21,53,18,0,0,1,0,0,2,2,2,8
81258,2,14,37,16,1,1,0,0,0,1,0,2,6
193315,4,12,24,16,0,0,0,0,0,0,0,0,13
220487,1,20,38,16,0,1,0,0,0,0,0,2,6
322023,4,15,25,4,0,1,0,1,0,0,0,2,3
236797,6,23,44,8,0,1,1,0,0,1,0,2,3
295992,5,21,21,22,0,0,1,0,0,2,0,0,17
